EE Provider ID	EE UID	Client ID	Client Age at Entry	Client Age at Exit	Client Gender	Client Primary Race	Client Ethnicity	Client Veteran Status	Entry Date	Exit Date	Destination	Reason for Leaving	length of stay
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687901	397941	60.0	61.0	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2016-07-11	Rental by client, with other ongoing housing subsidy (HUD)	Completed program	331.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687902	130335	48.0	48.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-31	Data not collected (HUD)	Needs could not be met	16.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687903	188933	42.0	42.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-19	Staying or living with friends, temporary tenure (HUD)	Other	35.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687904	168290	57.0	57.0	Male	White (HUD)	Hispanic/Latino (HUD)	No (HUD)	2015-08-15	2016-03-07	Hospital or other residential non-psychiatric medical facility (HUD)	Other	205.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687905	123122	51.0	51.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-24	Staying or living with friends, temporary tenure (HUD)	Other	9.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687907	363382	30.0	30.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-10-29	Staying or living with friends, temporary tenure (HUD)	Other	75.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687909	165730	51.0	51.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-06	Staying or living with friends, temporary tenure (HUD)	Other	22.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687911	291392	56.0	56.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2015-08-15	2015-08-22	Staying or living with friends, temporary tenure (HUD)	Other	7.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687912	359808	60.0	60.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2015-08-15	2015-10-29	Rental by client, with VASH housing subsidy (HUD)	Completed program	75.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687913	385539	59.0	59.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2015-08-15	2015-09-23	Staying or living with friends, temporary tenure (HUD)	Other	39.0
